City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Moree,AU,-29.4667,149.85,60.82,67,40,10.36,scattered clouds
315,Atar,MR,20.5169,-13.0499,102.49,7,38,5.39,scattered clouds
316,Siguiri,GN,11.6667,-9.5,102.4,24,35,3.0,scattered clouds
317,Sao Filipe,CV,14.8961,-24.4956,74.1,74,2,7.74,clear sky
318,Dhaulpur,IN,26.7,77.9,101.48,13,30,7.29,scattered clouds
319,Te Anau,NZ,-45.4167,167.7167,47.97,87,56,1.52,broken clouds
320,Rantepao,ID,-2.9701,119.8978,67.89,98,74,1.99,broken clouds
321,Pevek,RU,69.7008,170.3133,1.27,97,66,2.24,broken clouds
322,Peniche,PT,39.3558,-9.3811,66.29,84,28,15.35,scattered clouds
323,Boa Vista,BR,2.8197,-60.6733,84.18,61,0,14.97,clear sky
324,San Lawrenz,MT,36.0553,14.204,67.41,78,0,19.19,clear sky
325,Rio Grande,BR,-32.035,-52.0986,57.31,61,100,7.36,overcast clouds
326,Knysna,ZA,-34.0363,23.0471,74.19,48,97,6.64,overcast clouds
327,Radyvyliv,UA,50.1299,25.2558,63.01,50,74,0.92,broken clouds
328,Kuala Lipis,MY,4.1842,102.0468,76.1,96,100,0.56,overcast clouds
329,Prince Rupert,CA,54.3161,-130.3201,44.29,100,100,3.44,light rain
330,Waipawa,NZ,-41.4122,175.5153,57.29,84,100,6.51,overcast clouds
331,Cayenne,GF,4.9333,-52.3333,84.24,20,75,9.22,broken clouds
332,Praya,CV,14.9215,-23.5087,84.74,42,20,17.27,few clouds
333,Plouzane,FR,48.3833,-4.6167,59.05,74,75,11.5,broken clouds
334,Jaruco,CU,23.0431,-82.0108,74.43,54,0,13.73,clear sky
335,Thaton,MM,16.9206,97.3714,81.5,75,100,13.18,overcast clouds
336,Lingao,CN,19.9103,109.6859,67.59,82,100,6.04,overcast clouds
337,Bilibino,RU,68.0546,166.4372,5.94,93,51,3.02,broken clouds
338,Niquelandia,BR,-14.4739,-48.4597,88.05,30,36,5.06,scattered clouds
339,Batagay,RU,67.6333,134.6333,20.44,98,99,4.74,overcast clouds
340,Byron Bay,AU,-28.65,153.6167,62.49,82,34,8.55,scattered clouds
341,College,US,64.8569,-147.8028,39.18,65,75,3.44,broken clouds
342,Okato,NZ,-39.2,173.8833,55.69,91,87,1.01,overcast clouds
343,El Sauzal,MX,31.9,-116.6833,55.42,83,8,1.97,clear sky
